text,adaptive,corrective,perfective
"Add support for unowned/weak array elements
",1,0,0
"drivers: Mark arrays as unowned instead of weak
",0,0,1
"ctypresolver: signals: register default implementations
",1,0,0
"signals: collect default implementations
",1,0,0
"embedded: Fix check() for relative paths
",0,1,0
"doap++
",0,0,1
"gir-importer: docbook: process all <doc-* tags
",1,0,0
"gir: ignore type struct docs
",1,0,0
"girmetadata: allow to override <ONLINE>
",1,0,0
"gir-importer: docbook: resolve internal links
",1,0,0
"gir-importer: markdown: resolve internal links
",1,0,0
"Allow to inherit from imported docs
",1,0,0
"html: add <meta charset=""UTF-8""/>
",0,1,0
"gir-importer: skip <union> elements without ctype-attributes
",0,1,0
"Split process-comments into parse and check runs
",0,0,1
"ctyperesolver, virtual signals: register function pointer names
",1,0,0
"docbook: improve implicit parameter handling
",1,0,0
"Improve handling for c::this
",1,0,0
"docbook-parser: Accept symbols with trailing 's'
",1,0,0
"Improve CTypeResolver for virtual/abstract methods
",1,0,0
"gir-importer: add support for markdown
",1,0,0
"devhelp: Generate better keywords
",1,0,0
"devhelp: Add missing keywords
",0,1,0
"basic doclet: Add ""wiki-index-name""

Used by valadoc.org
",1,0,0
"Add support for cgraphs

Based on patch by Richard Schwarting

Fixes bug 703688.
",1,0,0
"Importer: Resolve c::*_finish methods
",1,0,0
"gir-importer: Ignore <annotation> tags
",1,0,0
"gir-importer: Add support for <instance-parameter>
",1,0,0
"coding style changes
",0,0,1
"gtkdoc: Document implicit struct functions
",1,0,0
"libvaladoc: Add Struct.copy_function_cname, Struct.destroy_function_cname
",1,0,0
"gtkdoc: Avoid warnings for undocumented parameters
",0,1,0
"gtkdoc: Improve docs for generics
",1,0,0
"0.20.x: Add support for [GenericAccessors]
",1,0,0
"0.18.x: Add support for [GenericAccessors]
",1,0,0
"0.14.x: Fix TypeParameter.base
",0,1,0
"0.16.x: Fix TypeParameter.base
",0,1,0
"0.18.x: Fix TypeParameter.base
",0,1,0
"0.20.x: Fix TypeParameter.base
",0,1,0
"gtkdoc: Improve documentation for _get and _set
",1,0,0
"libvaladoc: Use --api-version instead of --version
",1,0,0
"driver: Add support for vala-0.20
",1,0,0
