,text,accept,bug_fix,feature_addition,performance_improvement
0,"    netfilter: xt_log: fix mark logging for ipv6 packets          in dump_ipv6_packet()  the ""recurse"" parameter is zero only if     dumping contents of a packet embedded into an icmpv6 error     message. therefore we want to log packet mark if recurse is     non-zero  not when it is zero.          signed-off-by: michal kubecek <mkubecek@suse.cz>     signed-off-by: pablo neira ayus",['bug_fix'],1,0,0
1,    [patch] inode-diet: eliminate i_blksize from the inode structure          this eliminates the i_blksize field from struct inode.  filesystems that want     to provide a per-inode st_blksize can do so by providing their own getattr     routine instead of using the generic_fillattr() function.          note that some filesystems were providing pretty much random (and incorrect)  ,['bug_fix'],1,0,0
2,    tensor roll op implementation (#14953)          * half migrated to manip          half migrated to tf.manip          * roll op: polymorphism & gpu attempt          * roll op: added support for gradients          added compile script          * rebase for roll op code          * roll op: migrated to manip namespace          * roll op: supports cpu thread pooling          fix nam,"['feature_addition', 'bug_fix']",1,1,0
3,    improve video updates from sheet ,['performance_improvement'],0,0,1
4,    [spark-9372] [sql] filter nulls in join keys          this pr adds an optimization rule  `filternullsinjoinkey`  to add `filter` before join operators to filter out rows having null values for join keys.          this optimization is guarded by a new sql conf  `spark.sql.advancedoptimization`.          the code in this pr was authored by yhuai; i'm opening this pr to factor out,['performance_improvement'],0,0,1
5,    ipvs: allow null argument to ip_vs_scheduler_put()          this simplifies caller logic sightly.          signed-off-by: simon horman <horms@verge.net.au>     acked-by: julian anastasov <ja@ssi.bg> ,['performance_improvement'],0,0,1
6,    remove all unused imports and fix crlf (#31207)          the x-pack opening and the recent other refactorings left a lot of     unused imports in the codebase. this commit removes them all. ,['bug_fix'],1,0,0
7,    partial rn sync          summary:     this cherry-picks one commit: https://github.com/facebook/react/commit/01fb68b9bf680ab8bbf96e86501e0fc540b3cc97          it fixes a bug in fast refresh.          reviewed by: threepointone          differential revision: d17140543          fbshipit-source-id: a7654152d1cc7c27e7c4024380349b44ac496b22 ,['bug_fix'],1,0,0
8,    ide: add codecompleteinitsinpostfixexpr to completion cache key          this fixes a source of non-determinism. the ide/complete_constructor     test would sometimes fail depending on the order in which prior tests     ran  since those prior tests might populate the code completion cache. ,['bug_fix'],1,0,0
9,    reorganize source code in preparation to move into aspnet/aspnetcore     prior to reorganization  this source code was found in https://github.com/aspnet/security/tree/26d27d871b7992022c082dc207e3d126e1d9d278 ,['performance_improvement'],0,0,1
10,    change java client package name to com.microsoft.signalr (#3096) ,['bug_fix'],1,0,0
11,    runtime  cmd/compile: add intrinsic getclosureptr          intrinsic enabled on all architectures      runtime asm implementation removed on all architectures.          fixes #21258          change-id: i2cb86d460b497c2f287a5b3df5c37fdb231c23a7     reviewed-on: https://go-review.googlesource.com/53411     reviewed-by: josh bleecher snyder <josharian@gmail.com>     reviewed-by: d,['bug_fix'],1,0,0
12,    netfilter: ip6_tables: add flags parameter to ipv6_find_hdr()          this patch adds the flags parameter to ipv6_find_hdr. this flags     allows us to:          * know if this is a fragment.     * stop at the ah header  so the information contained in that header       can be used for some specific packet handling.          this patch also adds the offset parameter for inspec,['feature_addition'],0,1,0
13,    update from facebook (#8887)          * add opencl + fpga context          adds an opencl context inside caffe2/fb which can be used for fpga access          * [caffe2] force tensor inference checks to be triggered during testing          we've started to rely on tensorinference functions more for different analysis.  this diff ensures that the tensorinference function's result,['feature_addition'],0,1,0
14,    3.x: widen functional interface throws  replace callable with supplier (#6511)          * 3.x: widen functional interface throws  replace callable with supplier          * fix typo and wrong link in supplier  some style cleanup          * some cleanup ,['bug_fix'],1,0,0
15,"    re-apply ""ast: early exit from subst() if the type is concrete""          the underlying issue (pun intended) with recursive properties of     typealiases not getting set should now be fixed. ",['bug_fix'],1,0,0
16,    remove elasticsearchiae and elasticsearchise          this commit removes elasticsearchiae and elasticsearchise in favor of     the jdks iae and ise.          closes #10794 ,['bug_fix'],1,0,0
17,    staging: rtl8192e: remove undefs          they relate to macros that are not used in the driver.          signed-off-by: mateusz kulikowski <mateusz.kulikowski@gmail.com>     signed-off-by: greg kroah-hartman <gregkh@linuxfoundation.org> ,['bug_fix'],1,0,0
18,    beceem: add network device message level control          provide standard interface to control verbosity of debug messages          signed-off-by: stephen hemminger <shemminger@vyatta.com> ,['feature_addition'],0,1,0
